,,arcsec,kg,W
AAC Clyde Space,ST200,30,0.042,0.6
CubeSpace,CubeStar,0.0215,0.055,0.142
TY-Space Technology,"PST3S-G2 Pico Star Tracker
",5,0.106,0.7
TY-Space Technology,"PST3S-G1 Pico Star Tracker
",3,0.14,0.7
Sinclair Interplanetary,ST-16RT2 (No Baffle),5,0.158,0.5
Sinclair Interplanetary,"ST-16RT2 (Short Baffle)
",5,0.185,0.5
"KAIROSPACE Co., Ltd",Star Tracker,5,0.197,1.2
Sinclair Interplanetary,ST-16RT2 (Large Baffle),5,0.235,0.5
KU Leuven,CubeSat Pointing,2,0.25,1
ARCSEC,Sagitta Star Tracker,2,0.27,1.4
Chang Guang Satellite Technology,NanoSat Sensor,7,0.27,1.2
Canon Electronics,STT,7,0.28,3
Adcole Maryland Aerospace,MAI-SS,5.7,0.305,2
Space Inventor,STAR-T3,1,0.35,2
Blue Canyon Technologies,Standard NST,2,0.35,1.5
TY-Space Technology,NST4S-A2 Nano Pico Star Tracker,3,0.35,0.7
Blue Canyon Technologies,Mid Extended NST,1,0.46,1.5
Vectronic Aerospace,VST-68M,5,0.47,3
Redwire Space,SpectraTRAC,10,0.475,2.5
Space Micro,MIST,5,0.52,4
TY-Space Technology,NST10-G1 Nano Pico Star Tracker,5,0.6,2
Blue Canyon Technologies,29,1,0.85,1.5
TY-Space Technology,30,3,0.85,2
Vectronic Aerospace,31,18,0.9,2.5
Sodern,33,11,1.4,2
Leonardo,34,7.7,1.6,7.5
Space Micro,37,1,1.8,5
Jena-Optronik,38,1,2,6
Space Micro,39,1,2.1,10
Leonardo,40,8.25,2.6,12.6
Space Micro,41,1,2.7,10
Ball Aerospace,42,1,3,7
Space Micro,44,1,3.3,18
Jena-Optronik,45,1.5,3.37,5.5
Leonardo,46,8.25,3.55,13.5
Jena-Optronik,47,1.5,3.555,5.5
Sodern,48,11,4.15,6
Jena-Optronik,49,1,5.85,10
Jena-Optronik,50,1,6,10
Sodern,51,11,6,9.5
Antrix corporation,52,10,6.25,24
Sodern,53,11,6.7,7
,,,,
,,,,
,,,,
