nom,thrust (N),mass (kg),isp (s),power (W),,
HEET-05,0.005,0.47,950,110,,
BHT-100,0.007,1.16,1000,100,,
HEET-10,0.0102,0.52,1070,200,,
ST-25,0.011,0.95,1400,200,,
BHT-200,0.013,0.98,1390,200,,
IHET 300,0.015,1.6,1300,600,,
BHT-350,0.017,1.7,1244,350,,
ST-40,0.025,1.2,1900,450,,
Halo,0.03,0.79,1400,450,,
BHT-600,0.039,2.6,1500,600,,
HEET-40,0.04,1.9,1380,720,,
HEET-85,0.0846,3.8,1480,1450,,
Halo12,0.1,3.4,2000,1800,,
BHT-1500,0.101,6.3,1710,1500,,
ST-100,0.107,3,1700,1500,,
BHT-6000,0.325,12.5,2708,6000,,
BHT-20K,1.006,45,2512,20000,,
